time_s,fid_source_v,adc_differential_v
0.0170214,9.86417221e-07,-0.00015349999999969555
0.0170264,9.90236108e-07,-0.0001368600000000164
0.0170314,9.89627523e-07,-0.00011970999999988408
0.0170364,9.84594233e-07,-0.00010214000000008383
0.0170414,9.7515879e-07,-8.423000000012948e-05
0.0170464,9.61363425e-07,-6.605000000003969e-05
0.0170514,9.43269866e-07,-4.7689999999711574e-05
0.0170564,9.20959056e-07,-2.9220000000051982e-05
0.0170614,8.94530792e-07,-1.0740000000009076e-05
0.0170664,8.6410328e-07,7.67999999995439e-06
0.0170714,8.29812608e-07,2.5949999999941298e-05
0.0170764,7.91812133e-07,4.399999999993298e-05
0.0170814,7.50271796e-07,6.17300000000931e-05
0.0170864,7.05377365e-07,7.907999999989812e-05
0.0170914,6.57329603e-07,9.597000000027833e-05
0.0170964,6.06343369e-07,0.00011231000000000435
0.0171014,5.52646658e-07,0.0001280399999998849
0.0171064,4.9647958e-07,0.00014307999999996213
0.0171114,4.3809329e-07,0.00015738000000009578
0.0171164,3.77748862e-07,0.00017085999999988388
0.0171214,3.1571612e-07,0.00018346000000013518
0.0171264,2.52272437e-07,0.00019513000000026537
0.0171314,1.87701489e-07,0.00020582000000013423
0.0171364,1.22291992e-07,0.0002154700000001064
0.0171414,5.63364047e-08,0.00022404999999992015
0.0171464,-9.8703731e-09,0.00023152000000026263
0.0171514,-7.60323227e-08,0.00023784000000004468
0.0171564,-1.41853629e-07,0.00024297999999989273
0.0171614,-2.07040002e-07,0.0002469300000003116
0.0171664,-2.71299995e-07,0.00024966000000015143
0.0171714,-3.34346306e-07,0.000251159999999917
0.0171764,-3.95897061e-07,0.00025143000000005244
0.0171814,-4.55677079e-07,0.00025046000000017443
0.0171864,-5.13419095e-07,0.0002482600000002222
0.0171914,-5.68864961e-07,0.00024484000000013495
0.0171964,-6.21766799e-07,0.00024021000000029602
0.0172014,-6.71888107e-07,0.000234400000000079
0.0172064,-7.19004816e-07,0.00022742000000031126
0.0172114,-7.62906297e-07,0.00021932000000024487
0.0172164,-8.03396294e-07,0.0002101300000001416
0.0172214,-8.4029381e-07,0.00019988000000026318
0.0172264,-8.73433911e-07,0.000188630000000245
0.0172314,-9.02668464e-07,0.000176420000000288
0.0172364,-9.27866799e-07,0.00016331999999996683
0.0172414,-9.48916296e-07,0.0001493699999999265
0.0172464,-9.65722883e-07,0.00013464000000018572
0.0172514,-9.78211463e-07,0.00011919999999987496
0.0172564,-9.86326242e-07,0.00010310999999996184
0.0172614,-9.90030984e-07,8.644999999996017e-05
0.0172664,-9.89309173e-07,6.928999999988861e-05
0.0172714,-9.84164082e-07,5.171000000014914e-05
0.0172764,-9.74618761e-07,3.379000000025556e-05
0.0172814,-9.60715935e-07,1.5600000000226544e-05
0.0172864,-9.4251781e-07,-2.76000000010157e-06
0.0172914,-9.20105798e-07,-2.1229999999761162e-05
0.0172964,-8.93580148e-07,-3.9719999999743294e-05
0.0173014,-8.63059503e-07,-5.8129999999767534e-05
0.0173064,-8.28680364e-07,-7.639999999975444e-05
0.0173114,-7.90596485e-07,-9.44399999998069e-05
0.0173164,-7.48978181e-07,-0.00011216999999996702
0.0173214,-7.04011568e-07,-0.00012950999999983281
0.0173264,-6.55897732e-07,-0.0001463899999998297
0.0173314,-6.04851825e-07,-0.00016271000000012137
0.0173364,-5.51102111e-07,-0.0001784300000000627
