frequency_hz,gain_db,phase_deg
119.124201,35.4058433,-22.91533110689532
119.39881,35.4445328,-22.96684390879059
119.674053,35.4832166,-23.018466718582523
119.94993,35.5218946,-23.070199822750016
120.226443,35.5605668,-23.122043393180412
120.503594,35.5992333,-23.17399760176105
120.781384,35.6378939,-23.226062734970824
121.059813,35.6765487,-23.278238907401292
121.338885,35.7151976,-23.3305262909398
121.6186,35.7538406,-23.382925229361017
121.89896,35.7924777,-23.435435779960724
122.179966,35.8311089,-23.488058171922045
122.46162,35.8697341,-23.54079263442809
122.743923,35.9083533,-23.5936393393662
123.026877,35.9469664,-23.64659857321528
123.310483,35.9855736,-23.699670393271095
123.594743,36.0241747,-23.75285508601256
123.879659,36.0627697,-23.806152880622776
124.165231,36.1013585,-23.85956389169331
124.451461,36.1399413,-23.913088348407282
124.738351,36.1785179,-23.966726479947813
125.025903,36.2170882,-24.020478458202227
125.314117,36.2556524,-24.074344512353658
125.602996,36.2942103,-24.128324814289435
125.892541,36.332762,-24.182419593192684
126.182753,36.3713074,-24.236629020950733
126.473635,36.4098464,-24.290953269450927
126.765187,36.4483792,-24.345392625172163
127.057411,36.4869055,-24.399947202706002
127.350308,36.5254255,-24.454617288531335
127.643881,36.563939,-24.509402997239732
127.93813,36.6024461,-24.564304615310082
128.233058,36.6409467,-24.61932225733394
128.528666,36.6794408,-24.67445620979022
128.824955,36.7179284,-24.729706587270464
129.121927,36.7564094,-24.785073618957796
129.419584,36.7948839,-24.840557591331116
129.717927,36.8333517,-24.8961585616862
130.016958,36.8718129,-24.95187681650195
130.316678,36.9102675,-25.00771258496148
130.617089,36.9487154,-25.06366598165635
130.918192,36.9871566,-25.11973729306546
131.21999,37.025591,-25.175926691076143
131.522483,37.0640186,-25.23223434757574
131.825674,37.1024395,-25.288660491747375
132.129563,37.1408535,-25.34520535277416
132.434154,37.1792607,-25.401869045247658
132.739446,37.2176611,-25.458651855646757
133.045442,37.2560545,-25.515553955858802
133.352143,37.294441,-25.572575575066917
133.659552,37.3328205,-25.62971682786265
133.967669,37.371193,-25.68697805802069
134.276496,37.4095585,-25.744359322836804
134.586035,37.447917,-25.801860908789898
134.896288,37.4862684,-25.859482987767304
135.207256,37.5246127,-25.91722578895215
135.518941,37.5629499,-25.975089484231763
135.831345,37.6012799,-26.03307430278927
136.144468,37.6396028,-26.09118047380779
136.458314,37.6779184,-26.14940811187887
136.772883,37.7162268,-26.20775744618564
137.088177,37.7545279,-26.266228763206993
137.404198,37.7928217,-26.324822177534486
137.720947,37.8311082,-26.383537918351244
138.038426,37.8693873,-26.442376157544594
138.356638,37.907659,-26.501337124297667
138.675583,37.9459233,-26.560421105089347
138.995263,37.9841802,-26.619628157215434
139.31568,38.0224296,-26.678958567154805
139.636836,38.0606714,-26.738412506794806
139.958732,38.0989058,-26.797990148022773
140.28137,38.1371326,-26.85769177731761
140.604752,38.1753517,-26.917517566566655
140.92888,38.2135633,-26.977467687657235
141.253754,38.2517672,-27.037542369772485
141.579378,38.2899634,-27.09774178479973
141.905752,38.3281519,-27.158066219217872
142.232879,38.3663326,-27.218515730322697
142.560759,38.4045056,-27.279090661888866
142.889396,38.4426708,-27.339791128507954
143.21879,38.4808281,-27.400617416658857
143.548943,38.5189776,-27.461569640933124
143.879858,38.5571191,-27.522647973218106
